participant_ID,token_set,condition,rating
B21,4,UCASEU,-2
B21,6,LCASEM,3
B21,7,UCASEM,1
B21,8,UCASEU,-1
B21,10,LCASEM,0
B21,11,UCASEM,1
B21,12,UCASEU,-1
C3,1,UCASEU,-3
C3,3,LCASEM,3
C3,4,UCASEM,1
C3,5,UCASEU,-3
C3,7,LCASEM,3
C3,8,UCASEM,3
C3,9,UCASEU,2
C3,11,LCASEM,3
C3,12,UCASEM,3
C5,1,UCASEU,-3
C5,3,LCASEM,3
C5,4,UCASEM,2
C5,5,UCASEU,-3
C5,7,LCASEM,3
C5,8,UCASEM,0
C5,9,UCASEU,1
C5,11,LCASEM,3
C5,12,UCASEM,-3
C7,1,UCASEU,-3
C7,3,LCASEM,3
C7,4,UCASEM,-3
C7,5,UCASEU,-3
C7,7,LCASEM,-3
C7,8,UCASEM,-3
C7,9,UCASEU,3
C7,11,LCASEM,3
C7,12,UCASEM,-3
C17,1,UCASEU,-1
C17,3,LCASEM,2
C17,4,UCASEM,3
C17,5,UCASEU,2
C17,7,LCASEM,-1
C17,8,UCASEM,-2
C17,9,UCASEU,3
C17,11,LCASEM,3
C17,12,UCASEM,3
C18,1,UCASEU,-2
C18,3,LCASEM,3
C18,4,UCASEM,-1
C18,5,UCASEU,-2
C18,7,LCASEM,3
C18,8,UCASEM,3
C18,9,UCASEU,3
C18,11,LCASEM,3
C18,12,UCASEM,-2
C22,1,UCASEU,-1
C22,3,LCASEM,3
C22,4,UCASEM,2
C22,5,UCASEU,1
C22,7,LCASEM,3
C22,8,UCASEM,2
C22,9,UCASEU,-1
C22,11,LCASEM,3
C22,12,UCASEM,1
C24,1,UCASEU,0
C24,3,LCASEM,3
C24,4,UCASEM,3
C24,5,UCASEU,2
C24,7,LCASEM,3
C24,8,UCASEM,0
C24,9,UCASEU,0
C24,11,LCASEM,0
C24,12,UCASEM,0
C26,1,UCASEU,-2
C26,3,LCASEM,3
C26,4,UCASEM,3
C26,5,UCASEU,-1
C26,7,LCASEM,3
C26,8,UCASEM,3
C26,9,UCASEU,-2
C26,11,LCASEM,3
C26,12,UCASEM,-1
C27,1,UCASEU,-3
C27,3,LCASEM,2
C27,4,UCASEM,0
C27,5,UCASEU,-3
C27,7,LCASEM,3
C27,8,UCASEM,-3
C27,9,UCASEU,-3
C27,11,LCASEM,3
C27,12,UCASEM,-2
C28,1,UCASEU,-3
C28,3,LCASEM,3
C28,4,UCASEM,-1
C28,5,UCASEU,-2
C28,7,LCASEM,3
C28,8,UCASEM,3
C28,9,UCASEU,-1
C28,11,LCASEM,3
C28,12,UCASEM,-2
C29,1,UCASEU,-2
C29,3,LCASEM,3
C29,4,UCASEM,3
C29,5,UCASEU,-1
C29,7,LCASEM,3
C29,8,UCASEM,2
C29,9,UCASEU,-1
C29,11,LCASEM,3
C29,12,UCASEM,2
D1,1,UCASEM,2
D1,2,UCASEU,3
D1,4,LCASEM,3
D1,5,UCASEM,3
D1,6,UCASEU,3
D1,8,LCASEM,3
D1,9,UCASEM,3
D1,10,UCASEU,-1
D1,12,LCASEM,3
D2,1,UCASEM,3
D2,2,UCASEU,-2
D2,4,LCASEM,3
D2,5,UCASEM,3
D2,6,UCASEU,3
D2,8,LCASEM,3
D2,9,UCASEM,3
D2,10,UCASEU,1
D2,12,LCASEM,3
D3,1,UCASEM,3
D3,2,UCASEU,-2
D3,4,LCASEM,3
D3,5,UCASEM,2
D3,6,UCASEU,3
D3,8,LCASEM,3
D3,9,UCASEM,3
D3,10,UCASEU,1
D3,12,LCASEM,3
D7,1,UCASEM,1
D7,2,UCASEU,1
D7,4,LCASEM,3
D7,5,UCASEM,2
D7,6,UCASEU,3
D7,8,LCASEM,3
D7,9,UCASEM,2
D7,10,UCASEU,-3
D7,12,LCASEM,1
D8,1,UCASEM,-3
D8,2,UCASEU,1
D8,4,LCASEM,3
D8,5,UCASEM,3
D8,6,UCASEU,1
D8,8,LCASEM,3
D8,9,UCASEM,3
D8,10,UCASEU,3
D8,12,LCASEM,3
D9,1,UCASEM,2
D9,2,UCASEU,2
D9,4,LCASEM,3
D9,5,UCASEM,1
D9,6,UCASEU,-1
D9,8,LCASEM,3
D9,9,UCASEM,1
D9,10,UCASEU,2
D9,12,LCASEM,3
D10,1,UCASEM,2
D10,2,UCASEU,1
D10,4,LCASEM,2
D10,5,UCASEM,1
D10,6,UCASEU,1
D10,8,LCASEM,2
D10,9,UCASEM,3
D10,10,UCASEU,-1
D10,12,LCASEM,1
D13,1,UCASEM,0
D13,2,UCASEU,-2
D13,4,LCASEM,3
D13,5,UCASEM,1
D13,6,UCASEU,2
D13,8,LCASEM,1
D13,9,UCASEM,2
D13,10,UCASEU,-3
D13,12,LCASEM,2
D15,1,UCASEM,2
D15,2,UCASEU,2
D15,4,LCASEM,3
D15,5,UCASEM,-3
D15,6,UCASEU,2
D15,8,LCASEM,2
D15,9,UCASEM,2
D15,10,UCASEU,-2
D15,12,LCASEM,-2
D19,1,UCASEM,1
D19,2,UCASEU,-2
D19,4,LCASEM,3
D19,5,UCASEM,2
D19,6,UCASEU,3
D19,8,LCASEM,3
D19,9,UCASEM,3
D19,10,UCASEU,-3
D19,12,LCASEM,3
D20,1,UCASEM,2
D20,2,UCASEU,1
D20,4,LCASEM,3
D20,5,UCASEM,3
D20,6,UCASEU,3
D20,8,LCASEM,3
D20,9,UCASEM,2
D20,10,UCASEU,2
D20,12,LCASEM,3
D21,1,UCASEM,3
D21,2,UCASEU,3
D21,4,LCASEM,3
D21,5,UCASEM,3
D21,6,UCASEU,3
D21,8,LCASEM,3
D21,9,UCASEM,3
D21,10,UCASEU,-2
D21,12,LCASEM,-1
D22,1,UCASEM,3
D22,2,UCASEU,1
D22,4,LCASEM,3
D22,5,UCASEM,3
D22,6,UCASEU,3
D22,8,LCASEM,3
D22,9,UCASEM,3
D22,10,UCASEU,-3
D22,12,LCASEM,3
