participant_ID,token_set,function_match,category_match,rating
B18,5,1,0,3
B18,6,0,1,-3
B18,7,0,0,-2
B18,8,1,1,3
B18,9,1,0,3
B18,10,0,1,-1
B18,11,0,0,3
B18,12,1,1,3
B19,1,1,0,-3
B19,2,0,1,-3
B19,3,0,0,-3
B19,4,1,1,3
B19,5,1,0,3
B19,6,0,1,-3
B19,7,0,0,-3
B19,8,1,1,3
B19,9,1,0,3
B19,10,0,1,-3
B19,11,0,0,-3
B19,12,1,1,3
B20,1,1,0,2
B20,2,0,1,-2
B20,3,0,0,1
B20,4,1,1,3
B20,5,1,0,2
B20,6,0,1,1
B20,7,0,0,-1
B20,8,1,1,3
B20,9,1,0,3
B20,10,0,1,1
B20,11,0,0,1
B20,12,1,1,1
B21,1,1,0,1
B21,2,0,1,-1
B21,3,0,0,-2
B21,4,1,1,3
B21,5,1,0,3
B21,6,0,1,-1
B21,7,0,0,-1
B21,8,1,1,3
B21,9,1,0,3
B21,10,0,1,-1
B21,11,0,0,-1
B21,12,1,1,0
C3,1,0,1,-3
C3,2,0,0,-3
C3,3,1,1,2
C3,4,1,0,2
C3,5,0,1,-3
C3,6,0,0,-3
C3,7,1,1,3
C3,8,1,0,3
C3,9,0,1,-3
C3,10,0,0,-2
C3,11,1,1,3
C3,12,1,0,2
C5,1,0,1,-3
C5,2,0,0,1
C5,3,1,1,3
C5,4,1,0,2
C5,5,0,1,-2
C5,6,0,0,3
C5,7,1,1,3
C5,8,1,0,-1
C5,9,0,1,-2
C5,10,0,0,3
C5,11,1,1,1
C5,12,1,0,-3
C7,1,0,1,-3
C7,2,0,0,-3
C7,3,1,1,3
C7,4,1,0,3
C7,5,0,1,-3
C7,6,0,0,-3
C7,7,1,1,3
C7,8,1,0,-1
C7,9,0,1,3
C7,10,0,0,-3
C7,11,1,1,3
C7,12,1,0,-3
C17,1,0,1,1
C17,2,0,0,3
C17,3,1,1,0
C17,4,1,0,2
C17,5,0,1,2
C17,6,0,0,2
C17,7,1,1,1
C17,8,1,0,3
C17,9,0,1,3
C17,10,0,0,3
C17,11,1,1,3
C17,12,1,0,-2
C18,1,0,1,3
C18,2,0,0,-1
C18,3,1,1,3
C18,4,1,0,3
C18,5,0,1,0
C18,6,0,0,3
C18,7,1,1,3
C18,8,1,0,2
C18,9,0,1,-1
C18,10,0,0,-2
C18,11,1,1,3
C18,12,1,0,0
C22,1,0,1,-1
C22,2,0,0,1
C22,3,1,1,1
C22,4,1,0,1
C22,5,0,1,1
